ICDE_text-embedding-002_path_and_value_Mistral-7B: 0.163
ICDE_text-embedding-002_path_and_value_LLama2-7B: 0.1156
ICDE_text-embedding-002_path_and_value_LLama2-13B: 0.1577
ICDE_text-embedding-002_path_and_value_desc_Mistral-7B: 0.1651
ICDE_text-embedding-002_path_and_value_desc_LLama2-7B: 0.0773
ICDE_text-embedding-002_path_and_value_desc_LLama2-13B: 0.1584
ICDE_text-embedding-002_path_and_value_gpt3.5_F1: {'extraction_atomic': 0.3625, 'extraction_complex': 0.1628, 'reasoning_atomic': 0.3095, 'reasoning_complex': 0.2949}
ICDE_text-embedding-002_path_and_value_desc_Mistral-7B_F1: {'extraction_atomic': 0.1965, 'extraction_complex': 0.1342, 'reasoning_atomic': 0.1119, 'reasoning_complex': 0.1868}
ICDE_text-embedding-002_path_and_value_gpt3.5_F1: {'extraction_atomic': 0.3694, 'extraction_complex': 0.2609, 'reasoning_atomic': 0.3328, 'reasoning_complex': 0.2669}
ICDE_text-embedding-002_path_and_value_LLama2-7B_F1: {'extraction_atomic': 0.1217, 'extraction_complex': 0.093, 'reasoning_atomic': 0.1233, 'reasoning_complex': 0.1209}
ICDE_text-embedding-002_path_and_value_Mistral-7B_F1: {'extraction_atomic': 0.1926, 'extraction_complex': 0.1439, 'reasoning_atomic': 0.1027, 'reasoning_complex': 0.182}
ICDE_text-embedding-002_path_and_value_desc_gpt3.5_F1: {'extraction_atomic': 0.4332, 'extraction_complex': 0.354, 'reasoning_atomic': 0.3899, 'reasoning_complex': 0.3368}
ICDE_text-embedding-002_path_and_value_desc_LLama2-7B_F1: {'extraction_atomic': 0.0781, 'extraction_complex': 0.0821, 'reasoning_atomic': 0.0209, 'reasoning_complex': 0.1165}
ICDE_text-embedding-002_path_and_value_desc_Mistral-7B_F1: {'extraction_atomic': 0.1965, 'extraction_complex': 0.1342, 'reasoning_atomic': 0.1119, 'reasoning_complex': 0.1868}
ICDE_text-embedding-002_path_and_value_gpt3.5_F1: {'extraction_atomic': 0.3694, 'extraction_complex': 0.2609, 'reasoning_atomic': 0.3328, 'reasoning_complex': 0.2669}
ICDE_text-embedding-002_path_and_value_LLama2-7B_F1: {'extraction_atomic': 0.1904, 'extraction_complex': 0.1679, 'reasoning_atomic': 0.0756, 'reasoning_complex': 0.1685}
ICDE_text-embedding-002_path_and_value_Mistral-7B_F1: {'extraction_atomic': 0.3387, 'extraction_complex': 0.2735, 'reasoning_atomic': 0.2616, 'reasoning_complex': 0.2119}
ICDE_text-embedding-002_path_and_value_desc_gpt3.5_F1: {'extraction_atomic': 0.4332, 'extraction_complex': 0.354, 'reasoning_atomic': 0.3899, 'reasoning_complex': 0.3368}
ICDE_text-embedding-002_path_and_value_desc_LLama2-7B_F1: {'extraction_atomic': 0.1929, 'extraction_complex': 0.217, 'reasoning_atomic': 0.1831, 'reasoning_complex': 0.1771}
ICDE_text-embedding-002_path_and_value_desc_Mistral-7B_F1: {'extraction_atomic': 0.3137, 'extraction_complex': 0.3539, 'reasoning_atomic': 0.2803, 'reasoning_complex': 0.2804}
ICDE_text-embedding-002_path_and_value_gpt3.5_F1: {'extraction_atomic': 0.3694, 'extraction_complex': 0.2609, 'reasoning_atomic': 0.3328, 'reasoning_complex': 0.2669}
ICDE_text-embedding-002_path_and_value_desc_gpt3.5_F1: {'extraction_atomic': 0.4332, 'extraction_complex': 0.354, 'reasoning_atomic': 0.3899, 'reasoning_complex': 0.3368}
ICDE_text-embedding-002_path_and_value_LLama2-7B_F1: {'extraction_atomic': 0.1904, 'extraction_complex': 0.1679, 'reasoning_atomic': 0.0756, 'reasoning_complex': 0.1685}
ICDE_text-embedding-002_path_and_value_desc_LLama2-7B_F1: {'extraction_atomic': 0.1929, 'extraction_complex': 0.217, 'reasoning_atomic': 0.1831, 'reasoning_complex': 0.1771}
ICDE_text-embedding-002_path_and_value_Mistral-7B_F1: {'extraction_atomic': 0.3387, 'extraction_complex': 0.2735, 'reasoning_atomic': 0.2616, 'reasoning_complex': 0.2119}
ICDE_text-embedding-002_path_and_value_desc_Mistral-7B_F1: {'extraction_atomic': 0.3137, 'extraction_complex': 0.3539, 'reasoning_atomic': 0.2803, 'reasoning_complex': 0.2804}
ICDE_text-embedding-002_path_and_value_LLama2-13B_F1: {'extraction_atomic': 0.3592, 'extraction_complex': 0.2466, 'reasoning_atomic': 0.2767, 'reasoning_complex': 0.184}
ICDE_text-embedding-002_path_and_value_desc_LLama2-13B_F1: {'extraction_atomic': 0.3209, 'extraction_complex': 0.3108, 'reasoning_atomic': 0.2976, 'reasoning_complex': 0.2821}
